Police Department,State,sort order,data entered?,agency_type,ori,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data,civilian_complaints_source,civilian_complaints_source_link,2019 data available?,civilian_complaints_reported_2013,civilian_complaints_sustained_2013,use_of_force_complaints_reported_2013,use_of_force_complaints_sustained_2013,discrimination_complaints_reported_2013,discrimination_complaints_sustained_2013,criminal_complaints_reported_2013,criminal_complaints_sustained_2013,complaints_in_detention_reported_2013,complaints_in_detention_sustained_2013,civilian_complaints_reported_2014,civilian_complaints_sustained_2014,use_of_force_complaints_reported_2014,use_of_force_complaints_sustained_2014,discrimination_complaints_reported_2014,discrimination_complaints_sustained_2014,criminal_complaints_reported_2014,criminal_complaints_sustained_2014,complaints_in_detention_reported_2014,complaints_in_detention_sustained_2014,civilian_complaints_reported_2015,civilian_complaints_sustained_2015,use_of_force_complaints_reported_2015,use_of_force_complaints_sustained_2015,discrimination_complaints_reported_2015,discrimination_complaints_sustained_2015,criminal_complaints_reported_2015,criminal_complaints_sustained_2015,complaints_in_detention_reported_2015,complaints_in_detention_sustained_2015,civilian_complaints_reported_2016,civilian_complaints_sustained_2016,use_of_force_complaints_reported_2016,use_of_force_complaints_sustained_2016,discrimination_complaints_reported_2016,discrimination_complaints_sustained_2016,criminal_complaints_reported_2016,criminal_complaints_sustained_2016,complaints_in_detention_reported_2016,complaints_in_detention_sustained_2016,civilian_complaints_reported_2017,civilian_complaints_sustained_2017,use_of_force_complaints_reported_2017,use_of_force_complaints_sustained_2017,discrimination_complaints_reported_2017,discrimination_complaints_sustained_2017,criminal_complaints_reported_2017,criminal_complaints_sustained_2017,complaints_in_detention_reported_2017,complaints_in_detention_sustained_2017,civilian_complaints_reported_2018,civilian_complaints_sustained_2018,use_of_force_complaints_reported_2018,use_of_force_complaints_sustained_2018,discrimination_complaints_reported_2018,discrimination_complaints_sustained_2018,criminal_complaints_reported_2018,criminal_complaints_sustained_2018,complaints_in_detention_reported_2018,complaints_in_detention_sustained_2018,civilian_complaints_reported_2019,civilian_complaints_sustained_2019,use_of_force_complaints_reported_2019,use_of_force_complaints_sustained_2019,discrimination_complaints_reported_2019,discrimination_complaints_sustained_2019,criminal_complaints_reported_2019,criminal_complaints_sustained_2019,complaints_in_detention_reported_2019,complaints_in_detention_sustained_2019,civilian_complaints_reported_2020,civilian_complaints_sustained_2020,use_of_force_complaints_reported_2020,use_of_force_complaints_sustained_2020,discrimination_complaints_reported_2020,discrimination_complaints_sustained_2020,criminal_complaints_reported_2020,criminal_complaints_sustained_2020,complaints_in_detention_reported_2020,complaints_in_detention_sustained_2020,civilian_complaints_reported_2021,civilian_complaints_sustained_2021,use_of_force_complaints_reported_2021,use_of_force_complaints_sustained_2021,discrimination_complaints_reported_2021,discrimination_complaints_sustained_2021,criminal_complaints_reported_2021,criminal_complaints_sustained_2021,complaints_in_detention_reported_2021,complaints_in_detention_sustained_2021,civilian_complaints_reported_2022,civilian_complaints_sustained_2022,use_of_force_complaints_reported_2022,use_of_force_complaints_sustained_2022,discrimination_complaints_reported_2022,discrimination_complaints_sustained_2022,criminal_complaints_reported_2022,criminal_complaints_sustained_2022,complaints_in_detention_reported_2022,complaints_in_detention_sustained_2022,Notes,Data input by,Complaints data fact-checked? (Put your Slack handle here if you've finished checking all the info for columns E-O). Change any cells that are incorrect and highlight the ones you've changed in yellow.,Response,FINAL CHECK,Matches aggregated?,2016-2019 Updated Data,2021 Request Fact-Checking (requests filed in 2021 for data from previous years),2021 Response 1,2021 Re-check,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data_original,population
New York,NY,1,Yes,police-department,NY0303000,25747,1696,10282,521,753,1,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4285,342,1792,84,,,,,,,4486,258,1736,83,,,,,,,4744,226,1747,73,,,,,,,4965,368,1956,98,500,0,,,,,3874,293,1627,56,253,1,,,,,3393,209,1424,127,,,,,,,,,,,,,,,,,alliemonck: data confusing,alliemonck;samswey,@MaryHammond - Columns I & J source https://www.nytimes.com/2019/06/26/nyregion/nypd-bias.html ,Checked,Good,Fact-checked individual years @MaryHammond,@MaryHammond,,,,25747,1696,10282,521,753,1,,,,,2016-21,8300377
Los Angeles,CA,2,Yes,police-department,CA0194200,14794,656,2930,24,3046,0,2942,181,1702,77,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1Y6GfhBnjz_MBHUoXFrF62tlqlnIqjwf2xrgSXwghoF8/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579,124,914,5,456,0,537,35,0,0,2408,104,789,3,495,0,630,28,337,17,2609,115,636,10,474,0,620,33,370,16,2874,96,591,6,704,0,434,26,400,12,2097,93,,,389,0,424,23,263,13,2227,124,,,528,0,297,36,332,19,2379,149,,,476,0,237,29,354,26,samswey: 2016-2018 numbers come from 2018 Annual Report - http://assets.lapdonline.org/assets/pdf/2018-annual-report-final-internal-affairs.pdf; Discrimination=Biased Policing,samswey,@MaryHammond - CA Department of Justice complaints database link to be added to doc for Columns K-N,Checked,Good,Fixed based on https://docs.google.com/document/d/1Y6GfhBnjz_MBHUoXFrF62tlqlnIqjwf2xrgSXwghoF8/edit?usp=sharing,,,,,14794,656,2930,24,3046,0,2942,181,1702,77,2016-21,4000587
Las Vegas Metro PD,NV,3,Yes,police-department,NV0020100,3544,457,,,,,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,229,213,,,,,,,,,,,,,,,,,,1894,228,213,,,,,,,,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: all numbers ALLEGATIONS,alliemonck,@MaryHammond,Checked,Good,Good,,,,,3544,457,,,,,,,,,,1693061
Detroit,MI,4,Yes,police-department,MI8234900,6939,1117,614,18,4,0,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109,158,151,4,,,,,,,1127,173,135,7,,,,,,,1091,225,86,5,,,,,,,1155,256,101,2,,,,,,,1144,278,62,0,,,,,,,1313,27,79,0,4,0,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - not seeing how numbers were determined for Columns E-H from Allegations page https://data.detroitmi.gov/datasets/dpd-citizen-complaints?orderBy=Report_Date&orderByAsc=false&selectedAttribute=Allegation ,"This is interesting because the dataset itself has 807 use of force allegations within 372 total use of force complaints/cases, while the visualization on the site shows 1,031 such allegations. Not sure where the discrepancy comes from but I think it makes sense to go with what's in the spreadsheet on the site.",Good,,,,,,6939,1117,614,18,4,0,,,,,2016-21,659616
Chicago,IL,5,Yes,police-department,ILCPD0000,10952,783,2256,176,413,4,406,20,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,84,462,36,6,0,73,5,,,810,106,363,45,3,0,10,2,,,1145,122,303,35,6,0,5,0,,,1922,21,456,6,,,,,,,2981,155,435,25,133,0,135,6,,,3355,295,237,29,265,4,183,7,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,"@MaryHammond - not seeing how numbers were determined for Columns F, H-L",Updated based on the COPA dataset including 2016-2019 data. Use of force complaints = Excessive Force category; Complaints data obtained by filtering by Case Type = Complaint,Good,Good,,,,,10952,783,2256,176,413,4,406,20,,,2016-21,2693598
Philadelphia,PA,6,Yes,police-department,PAPEP0000,2639,627,412,11,83,0,99,6,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,115,88,5,12,0,26,1,,,651,129,111,4,15,0,22,4,,,623,195,126,1,30,0,30,0,,,682,188,87,1,26,0,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - not seeing how numbers were determined for Columns F-L,Updated based on latest data: https://www.opendataphilly.org/dataset/police-complaints,Good,Good,,,,,2639,627,412,11,83,0,99,6,,,2016-21,1586666
Columbus,OH,7,Yes,police-department,OHCOP0000,4174,427,202,0,70,2,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,64,77,0,21,2,,,,,605,71,69,0,17,0,,,,,521,78,,,13,0,,,,,524,76,,,,,,,,,910,67,190,,13,,6,,,,826,71,56,0,19,0,,,,,,,,,,,,,,,"alliemonck: sustained only listed for allegations, not complaints",alliemonck,@MaryHammond - not seeing how number in Column H determined,Column H is determined by the individualized data for 2016-17 provided at https://drive.google.com/file/d/1ZZMJkj0RrBHHosXG6ku7HE55QDnJJX7Q/view?usp=sharing . A breakdown of use of force complaints by outcome is provided at https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit#,Good - added 2019 data,Good,,@MaryHammond,,,4174,427,202,0,70,2,,,,,2016-21,891855
Jacksonville,FL,8,Yes,sheriff,FL0160200,4489,307,332,23,39,0,,,,,2017-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,49,90,17,10,0,,,,,996,71,68,3,8,0,,,,,972,66,43,2,4,0,,,,,879,51,62,1,10,0,,,,,918,70,69,0,7,0,,,,,,,,,,,,,,,alliemonck: only have 2018 data,alliemonck;samswey,@MaryHammond,Checked,Good - changed UOF #,,,,,,4489,307,332,23,39,0,,,,,2016-21,920508
Seattle,WA,9,Yes,police-department,WASPD0000,5474,578,1373,73,911,21,132,9,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524,137,168,0,76,0,,,,,1313,113,326,15,221,11,,,,,1172,207,459,28,355,4,132,9,,,928,57,145,13,148,3,35,,,,537,64,275,17,111,3,65,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: most breakdowns of complaints combine internal and external complaints/split into allegations,alliemonck,@MaryHammond - not seeing how Columns G-J were determined,"Columns G-H were determined by the charts showing 323 use of force allegations received in 2017 and 452 use of force allegations in 2018, of which 6 were sustained in 2017 and 17 sustained in 2018. Column I-J reflects only 2018 data since 2017 data on bias complaints were unavailable. In 2018, the charts show 376 bias policing allegations and 5 sustained bias policing allegations. No breakdowns of 2019/20 data showing allegations sustained by type of allegation.",Good,,,,,,5474,578,1373,73,911,21,132,9,,,2016-21,771517
New Orleans,LA,10,Yes,police-department,LANPD0000,2618,234,98,3,58,7,235,17,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,69,5,1,22,4,54,5,,,448,57,18,1,17,3,40,5,,,428,48,8,0,8,0,39,4,,,456,43,7,1,5,0,30,2,,,330,15,27,0,2,0,35,0,,,374,2,33,0,4,0,37,1,,,351,28,,32,3,6,0,21,4,,alliemonck: INDIVIDUALIZED,alliemonck;samswey,@MaryHammond - not seeing how Columns I-L were determined,Double checked columns I-L using individualized dataset. Data checked out.,Good,,,,,,2618,234,98,3,58,7,235,17,,,2016-21,393779
