"police_department","state","ORI","civilian_complaints_sustained_2020","civilian_complaints_reported_2020","discrimination_complaints_reported_2020","discrimination_complaints_sustained_2020"
"New York","NY","NY0303000",293,3874,253,1
"Los Angeles","CA","CA0194200",93,2097,389,0
"Las Vegas Metro PD","NV","NV0020100",0,NA,0,0
"Detroit","MI","MI8234900",278,1144,0,0
"Chicago","IL","ILCPD0000",155,2981,133,0
"Philadelphia","PA","PAPEP0000",0,NA,0,0
"Columbus","OH","OHCOP0000",67,910,13,0
"Jacksonville","FL","FL0160200",51,879,10,0
"Seattle","WA","WASPD0000",64,537,111,3
"New Orleans","LA","LANPD0000",15,330,2,0
"Portland","OR","OR0260200",49,739,30,0
"Denver","CO","CODPD0000",0,NA,0,0
"Tulsa","OK","OK0720500",0,NA,0,0
"Eugene","OR","OR0200200",0,NA,0,0
"Memphis","TN","TNMPD0000",36,488,0,0
"Orange","FL","FL0480000",174,715,9,0
"Minneapolis","MN","MN0271100",52,451,5,0
"Sacramento","CA","CA0340000",3,191,4,0
"Houston","TX","TXHPD0000",0,NA,0,0
"San Jose","CA","CA0431300",11,247,52,0
"Nashville Metropolitan","TN","TN0190100",0,NA,0,0
"Baltimore","MD","MDBPD0000",19,541,6,0
"Harris","TX","TX1010000",0,NA,0,0
"Washington","DC","DCMPD0000",0,NA,0,0
"Vancouver","WA","WA0060300",0,NA,0,0
"Colorado Springs","CO","CO0210100",0,NA,0,0
"Fort Worth","TX","TX2201200",575,119,1,0
"Fairfax County PD","VA","VA0290100",38,319,50,1
"Cleveland","OH","OHCLP0000",0,276,3,0
"Omaha","NE","NB0280200",35,161,5,0
"Atlanta","GA","GAAPD0000",0,NA,0,0
"Fort Lauderdale","FL","FL0060300",1,15,5,0
"Hollywood","FL","FL0060500",0,NA,0,0
"San Antonio","TX","TXSPD0000",0,NA,5,1
"Miami-Dade","FL","FL0130000",42,113,0,0
"Mesa","AZ","AZ0071700",15,143,1,0
"Tacoma","WA","WA0270300",15,118,5,0
"Indianapolis","IN","INIPD0000",0,NA,0,0
"Lansing","MI","MI3351900",2,42,0,0
"Scottsdale","AZ","AZ0072500",0,NA,0,0
"Columbia","SC","SC0400100",18,84,0,0
"Albuquerque","NM","NM0010100",0,NA,0,0
"Durham","NC","NC0320100",12,63,0,0
"Tampa","FL","FL0290200",0,164,9,0
"Dallas","TX","TXDPD0000",345,1386,16,0
"Miami","FL","FL0130600",1,11,1,0
"Rochester","NY","NY0270100",4,60,0,0
"St. Louis County Pol Dep","MO","MO0950000",16,30,0,0
"Wilmington","NC","NC0650200",0,NA,0,0
"Milwaukee","WI","WIMPD0000",28,189,3,0
"Gainesville","FL","FL0010100",0,34,0,0
"Billings","MT","MT0560100",18,81,0,0
"Wichita","KS","KS0870300",0,218,8,0
"Maricopa","AZ","AZ0070000",0,NA,0,0
"Gilbert","AZ","AZ0071100",15,116,9,0
"Cincinnati","OH","OHCIP0000",99,654,26,0
"Syracuse","NY","NY0330100",0,NA,0,0
"Virginia Beach","VA","VA1280000",0,NA,0,0
"Seminole","FL","FL0590000",0,NA,0,0
"Charlotte-Mecklenburg","NC","NC0600100",29,70,0,0
"Boise","ID","ID0010100",7,33,0,0
"Austin","TX","TX2270100",52,501,25,5
"Flagstaff","AZ","AZ0030100",0,NA,0,0
"Baltimore County","MD","MD0030100",10,44,1,0
"Honolulu","HI","HI0020000",29,185,0,0
"Little Rock","AR","AR0600200",0,112,0,0
"Kansas City","MO","MOKPD0000",8,236,4,0
"Kansas City","KS","KS1050200",0,NA,0,0
"Athens-Clarke County","GA","GA0290100",14,48,2,0
"Irving","TX","TX0571500",12,74,13,0
"Clearwater","FL","FL0520300",0,NA,0,0
"Spokane","WA","WA0320400",14,77,6,0
"Savannah-Chatham Metro","GA","GA0250300",0,0,0,0
"Henderson","NV","NV0020300",9,80,4,0
"Oklahoma City","OK","OK0550600",20,48,0,0
"Fort Smith","AR","AR0660100",0,NA,0,0
"Sioux Falls","SD","SD0490200",1,49,0,0
"Lakeland","FL","FL0531200",2,15,2,0
"Peoria","IL","IL0720700",8,24,3,0
"St. Louis","MO","MOSPD0000",0,NA,0,0
"Cedar Rapids","IA","IA0570100",5,34,9,0
"Anne Arundel County PD","MD","MD0020200",19,89,24,4
"Kissimmee","FL","FL0490200",1,4,1,0
"Springfield","MA","MA0071800",7,14,0,0
"Louisville Metro","KY","KY0568000",0,NA,0,0
