"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"NEW YORK POLICE DEPARTMENT","NY","NEW YORK POLICE DEPARTMENTNY","NY0303000",8300377
"LOS ANGELES POLICE DEPARTMENT","CA","LOS ANGELES POLICE DEPARTMENTCA","CA0194200",4000587
"CHICAGO POLICE DEPARTMENT","IL","CHICAGO POLICE DEPARTMENTIL","ILCPD0000",2693598
"HOUSTON POLICE DEPARTMENT","TX","HOUSTON POLICE DEPARTMENTTX","TXHPD0000",2297580
"PHOENIX POLICE DEPARTMENT","AZ","PHOENIX POLICE DEPARTMENTAZ","AZ0072300",1708960
"LAS VEGAS METRO POLICE DEPARTMENT","NV","LAS VEGAS METRO POLICE DEPARTMENTNV","NV0020100",1693061
"PHILADELPHIA POLICE DEPARTMENT","PA","PHILADELPHIA POLICE DEPARTMENTPA","PAPEP0000",1586666
"SAN ANTONIO POLICE DEPARTMENT","TX","SAN ANTONIO POLICE DEPARTMENTTX","TXSPD0000",1573157
"SAN DIEGO POLICE DEPARTMENT","CA","SAN DIEGO POLICE DEPARTMENTCA","CA0371100",1437608
"DALLAS POLICE DEPARTMENT","TX","DALLAS POLICE DEPARTMENTTX","TXDPD0000",1278608
"SAN JOSE POLICE DEPARTMENT","CA","SAN JOSE POLICE DEPARTMENTCA","CA0431300",1029542
"AUSTIN POLICE DEPARTMENT","TX","AUSTIN POLICE DEPARTMENTTX","TX2270100",943059
"INDIANAPOLIS METROPOLITAN POLICE DEPARTMENT","IN","INDIANAPOLIS METROPOLITAN POLICE DEPARTMENTIN","INIPD0000",890672
"CHARLOTTE - MECKLENBURG POLICE DEPARTMENT","NC","CHARLOTTE - MECKLENBURG POLICE DEPARTMENTNC","NC0600100",958358
"JACKSONVILLE CITY CNTY POLICE DEPARTMENT","FL","JACKSONVILLE CITY CNTY POLICE DEPARTMENTFL","FL0160200",920508
"FORT WORTH POLICE DEPARTMENT","TX","FORT WORTH POLICE DEPARTMENTTX","TX2201200",919789
"COLUMBUS POLICE DEPARTMENT","OH","COLUMBUS POLICE DEPARTMENTOH","OHCOP0000",891855
"SAN FRANCISCO POLICE DEPARTMENT","CA","SAN FRANCISCO POLICE DEPARTMENTCA","CA0380100",881514
"SEATTLE POLICE DEPARTMENT","WA","SEATTLE POLICE DEPARTMENTWA","WASPD0000",771517
"DENVER POLICE DEPARTMENT","CO","DENVER POLICE DEPARTMENTCO","CODPD0000",737709
"WASHINGTON METROPOLITAN POLICE DEPARTMENT","DC","WASHINGTON METROPOLITAN POLICE DEPARTMENTDC","DCMPD0000",712816
"BOSTON POLICE DEPARTMENT","MA","BOSTON POLICE DEPARTMENTMA","MA0130100",697323
"EL PASO POLICE DEPARTMENT","TX","EL PASO POLICE DEPARTMENTTX","TX0710200",685288
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0190100",688013
"LOUISVILLE METRO POLICE DEPARTMENT","KY","LOUISVILLE METRO POLICE DEPARTMENTKY","KY0568000",673730
"DETROIT POLICE DEPARTMENT","MI","DETROIT POLICE DEPARTMENTMI","MI8234900",659616
"PORTLAND POLICE BUREAU","OR","PORTLAND POLICE BUREAUOR","OR0260200",660216
"OKLAHOMA CITY POLICE DEPARTMENT","OK","OKLAHOMA CITY POLICE DEPARTMENTOK","OK0550600",532581
"MEMPHIS POLICE DEPARTMENT","TN","MEMPHIS POLICE DEPARTMENTTN","TNMPD0000",650937
"BALTIMORE POLICE DEPARTMENT","MD","BALTIMORE POLICE DEPARTMENTMD","MDBPD0000",588594
"MILWAUKEE POLICE DEPARTMENT","WI","MILWAUKEE POLICE DEPARTMENTWI","WIMPD0000",589105
"ALBUQUERQUE POLICE DEPARTMENT","NM","ALBUQUERQUE POLICE DEPARTMENTNM","NM0010100",562065
"TUCSON POLICE DEPARTMENT","AZ","TUCSON POLICE DEPARTMENTAZ","AZ0100300",550448
"FRESNO POLICE DEPARTMENT","CA","FRESNO POLICE DEPARTMENTCA","CA0100500",535472
"SACRAMENTO POLICE DEPARTMENT","CA","SACRAMENTO POLICE DEPARTMENTCA","CA0340400",519050
"MESA POLICE DEPARTMENT","AZ","MESA POLICE DEPARTMENTAZ","AZ0071700",527361
