"Total_Less_lethal_force_2020","ORI","Population","Police Department"
1290,"NY0303000",8300377,"New York Police Department"
425,"CA0194200",4000587,"Los Angeles Police Department"
NA,"CA0190000",2791309,"Los Angeles County Sheriff"
405,"ILCPD0000",2693598,"Chicago Police Department"
420,"TXHPD0000",2297580,"Houston Police Department"
NA,"TX1010000",1965544,"Harris County Sheriff"
247,"AZ0072300",1708960,"Phoenix Police Department"
287,"NV0020100",1693061,"Las Vegas Metropolitan Police Department"
143,"TXSPD0000",1573157,"San Antonio Police Department"
480,"CA0371100",1437608,"San Diego Police Department"
NA,"CA0330000",1436865,"Riverside County Sheriff"
NA,"NY0510100",1303112,"Suffolk County Police Department"
446,"TXDPD0000",1278608,"Dallas Police Department"
64,"FL0130000",1186380,"Miami-Dade County Police Department"
75,"VA0290100",1112320,"Fairfax County Police Department"
NA,"CA0360000",1084461,"San Bernardino County Sheriff"
2,"NY0290000",1053945,"Nassau County Police Department"
54,"MD0160400",1036020,"Montgomery County Police Department"
493,"CA0431300",1029542,"San Jose Police Department"
NA,"FL0290000",1022128,"Hillsborough County Sheriff's Office"
109,"HI0020000",966438,"Honolulu Police Department"
130,"NC0600100",958358,"Charlotte-Mecklenburg Police Department"
541,"TX2270100",943059,"Austin Police Department"
625,"CA0370000",922620,"San Diego County Sheriff"
958,"FL0160200",920508,"Jacksonville Sheriff's Office"
120,"TX2201200",919789,"Fort Worth Police Department"
83,"FL0480000",905376,"Orange County Sheriff's Office"
217,"OHCOP0000",891855,"Columbus Division of Police"
485,"INIPD0000",890672,"Indianapolis Police Department"
209,"CA0380100",881514,"San Francisco Police Department"
99,"MD0030100",826987,"Baltimore County Police Department"
183,"GA0670200",808447,"Gwinnett County Police Department"
1218,"WASPD0000",771517,"Seattle Police Department"
382,"CA0300000",746448,"Orange County Sheriff"
174,"CODPD0000",737709,"Denver Police Department"
167,"DCMPD0000",712816,"Washington Metropolitan Police Department"
NA,"MD0172100",697717,"Prince George's County Police"
102,"TN0190100",688013,"Nashville Metropolitan Police Department"
282,"TX0710200",685288,"El Paso Police Department"
NA,"KY0568000",673730,"Louisville Metro Police Department"
301,"FL0500000",660770,"Palm Beach County Sheriff"
2831,"OR0260200",660216,"Portland Police Bureau"
18,"MI8234900",659616,"Detroit Police Department"
159,"CA0340000",657602,"Sacramento County Sheriff"
177,"TNMPD0000",650937,"Memphis Police Department"
145,"WIMPD0000",589105,"Milwaukee Police Department"
65,"MDBPD0000",588594,"Baltimore Police Department"
NA,"GA0330200",567781,"Cobb County Police Department"
67,"WA0170000",563466,"King County Sheriff"
119,"NM0010100",562065,"Albuquerque Police Department"
NA,"AZ0100300",550448,"Tucson Police Department"
32,"MD0020200",542622,"Anne Arundel County Police Department"
80,"CA0100500",535472,"Fresno Police Department"
252,"OK0550600",532581,"Oklahoma City Police Department"
359,"AZ0071700",527361,"Mesa Police Department"
108,"GA0440200",525376,"Dekalb County Police Department"
197,"CA0340400",519050,"Sacramento Police Department"
14,"FL0510000",518973,"Pasco County Sheriff"
216,"FL0360000",489622,"Lee County Sheriff"
372,"CO0210100",485083,"Colorado Springs Police Department"
46,"NC0920100",480964,"Raleigh Police Department"
393,"NB0280200",480297,"Omaha Police Department"
65,"FL0130600",476102,"Miami Police Department"
160,"GAAPD0000",474201,"Atlanta Police Department"
92,"VA0750300",468281,"Prince William County Police Department"
468,"CA0194100",462654,"Long Beach Police Department"
NA,"VA1280000",450858,"Virginia Beach Police Department"
55,"CA0010900",437923,"Oakland Police Department"
248,"MN0271100",435116,"Minneapolis Police Department"
218,"WA0270000",429803,"Pierce County Sheriff's Department"
60,"DE0020300",422025,"New Castle County Police Department"
389,"FL0290200",407350,"Tampa Police Department"
121,"MO0950000",406289,"St. Louis County Police Department"
40,"TX2200100",402700,"Arlington Police Department"
NA,"OK0720500",396150,"Tulsa Police Department"
57,"LANPD0000",393779,"New Orleans Police Department"
225,"KS0870300",390746,"Wichita Police Department"
193,"CA0150200",388265,"Bakersfield Police Department"
86,"OHCLP0000",379121,"Cleveland Division of Police"
116,"AZ0100000",374380,"Pima County Sheriff"
113,"WA0310000",367029,"Snohomish County Sheriff's Office"
42,"VA0210100",356705,"Chesterfield County Police Department"
192,"FL0110000",350856,"Collier County Sheriff's Office"
222,"CO0010100",334644,"Aurora Police Department"
67,"CA0331300",334370,"Riverside Police Department"
36,"VA0430100",333274,"Henrico County Division of Police"
77,"CA0301900",333107,"Santa Ana Police Department"
112,"FL0410000",329213,"Manatee County Sheriff's Department"
355,"CA0150000",329083,"Kern County Sheriff"
104,"TX1780200",329050,"Corpus Christi Police Department"
8,"MD0140100",329010,"Howard County Police Department"
63,"NV0020300",328056,"Henderson Police Department"
179,"MOKPD0000",318398,"Kansas City Police Department"
162,"CA0390500",314981,"Stockton Police Department"
112,"MN0620900",309859,"St. Paul Police Department"
291,"OHCIP0000",304724,"Cincinnati Police Department"
NA,"CA0070000",300829,"Contra Costa Sheriff"
273,"FL0420000",300206,"Marion County Sheriff's Department"
65,"NC0410200",299887,"Greensboro Police Department"
