"Police Department","State","ORI","Data Entered?","Population","Use of Force Source Link","2013 Firearm Discharged at Person","2014 Firearm Discharged at Person","2015 Firearm Discharged at Person","2016 Firearm Discharged at Person","2017 Firearm Discharged at Person","2018 Firearm Discharged at Person","2019 Firearm Discharged at Person","2020 Firearm Discharged at Person","2021 Firearm Discharged at Person","2022 Firearm Discharged at Person","2013 Taser (also sometimes called Electronic Control Weapons or ECW)","2014 Taser (also sometimes called Electronic Control Weapons or ECW)","2015 Taser (also sometimes called Electronic Control Weapons or ECW)","2016 Taser (also sometimes called Electronic Control Weapons or ECW)","2017 Taser (also sometimes called Electronic Control Weapons or ECW)","2018 Taser (also sometimes called Electronic Control Weapons or ECW)","2019 Taser (also sometimes called Electronic Control Weapons or ECW)","2020 Taser (also sometimes called Electronic Control Weapons or ECW)","2021 Taser (also sometimes called Electronic Control Weapons or ECW)","2022 Taser (also sometimes called Electronic Control Weapons or ECW)","Are taser uses separated into two or more categories (for example, taser probes vs taser drive stuns)? (Put Yes or No)","2013 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2014 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2015 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2016 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2017 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2018 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2019 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2020 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2021 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2022 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","Categories counted in impact weapon tally","2013 Carotid Restraints (also sometimes called Carotid Control Holds)","2014 Carotid Restraints (also sometimes called Carotid Control Holds)","2015 Carotid Restraints (also sometimes called Carotid Control Holds)","2016 Carotid Restraints (also sometimes called Carotid Control Holds)","2017 Carotid Restraints (also sometimes called Carotid Control Holds)","2018 Carotid Restraints (also sometimes called Carotid Control Holds)","2019 Carotid Restraints (also sometimes called Carotid Control Holds)","2020 Carotid Restraints (also sometimes called Carotid Control Holds)","2021 Carotid Restraints (also sometimes called Carotid Control Holds)","2022 Carotid Restraints (also sometimes called Carotid Control Holds)","2013 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2014 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2015 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2016 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2017 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2018 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2019 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2020 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2021 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2022 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2013 K-9 deployments","2014 K-9 deployments","2015 K-9 deployments","2016 K-9 deployments","2017 K-9 deployments","2018 K-9 deployments","2019 K-9 deployments","2020 K-9 deployments","2021 K-9 deployments","2022 K-9 deployments","Total Use of Force Incidents 2013","Total Use of Force Incidents 2014","Total Use of Force Incidents 2015","Total Use of Force Incidents 2016","Total Use of Force Incidents 2017","Total Use of Force Incidents 2018","Total Use of Force Incidents 2019","Total Use of Force Incidents 2020","Total Use of Force Incidents 2021","Total Use of Force Incidents 2022","2013 Total ""Less Lethal Force""","2014 Total ""Less Lethal Force""","2015 Total ""Less Lethal Force""","2016 Total ""Less Lethal Force""","2017 Total ""Less Lethal Force""","2018 Total ""Less Lethal Force""","2019 Total ""Less Lethal Force""","Total_Less_lethal_force_2020","2021 Total ""Less Lethal Force""","2022 Total ""Less Lethal Force""","Individualized w/ officer names","Notes/Comments","Slack handle of person inputting the data","FINAL CHECK","Data checked?","Responses to factchecking","Response to response","Response to response to response","2021 Response","2021 Response to Response","Fact-Checked by","Use of Force Documentation (2013 LEMAS)","Officer or Incident Based Reporting (2013 LEMAS)","Force Types Required to be Reported (2013 LEMAS)","Total Use of Force Incidents 2012 (LEMAS)","Total Use of Force Reports 2012 (LEMAS)","Reportable Force Types (2016 LEMAS)","Reportable Force Types (Updated)","Use of Force Documentation Used (Updated)","Officer or Incident Based Reporting Used (DRAFT Revision)","Review Incident/Officer Based Reporting"
"New York Police Department","NY","NY0303000","Yes",8300377,"https://www1.nyc.gov/site/nypd/stats/reports-analysis/firearms-discharge.page ; https://www1.nyc.gov/site/nypd/stats/reports-analysis/use-of-force.page ; https://app.powerbigov.us/view?r=eyJrIjoiOGNhMjVhYTctMjk3Ny00MTZjLTliNDAtY2M2ZTQ5YWI3N2ViIiwidCI6IjJiOWY1N2ViLTc4ZDEtNDZmYi1iZTgzLWEyYWZkZDdjNjA0MyJ9",81,79,67,72,52,35,52,39,50,58,NA,NA,NA,NA,728,998,1271,1073,1193,1526,"No",NA,NA,NA,NA,105,76,82,81,53,54,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,324,211,163,134,97,141,NA,NA,NA,NA,7,12,6,2,1,NA,NA,NA,NA,NA,7369,7879,8595,6158,6440,8690,NA,NA,NA,NA,1164,1297,1522,1290,1344,1721,"Individualized data available from 2020 onwards: https://data.cityofnewyork.us/Public-Safety/NYPD-Use-of-Force-Incidents/f4tj-796d","Data prior to 2017 incomplete and excluded due to force not being required to be reported unless an arrest was made. NYPD data shows fewer uses of less lethal force and more use of force incidents overall compared to state data. Used NYPD data to preserve consistency across years of local data.","samswey","Good","@MaryHammond","Numbers in scorecard chart are not entered","Entered","","",NA,"","Documented in arrest report","Other: multiple report per incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident","Incident"
"Los Angeles Police Department","CA","CA0194200","Yes",4000587,"http://assets.lapdonline.org/assets/pdf/2017UseofForceYear-EndReview-1-compressed-3.pdf ; https://lapdonlinestrgeacc.blob.core.usgovcloudapi.net/lapdonlinemedia/2021/10/Research_2018-uof-yr-end-rpt.pdf ; https://lapdonlinestrgeacc.blob.core.usgovcloudapi.net/lapdonlinemedia/2021/11/year-2020-uof-review.pdf ; https://lapdonlinestrgeacc.blob.core.usgovcloudapi.net/lapdonlinemedia/2022/04/2_2021-UOF-YER-compressed.pdf ; https://lapdonlinestrgeacc.blob.core.usgovcloudapi.net/lapdonlinemedia/2022-Year-End-Review.pdf",46,30,48,40,44,33,26,27,37,31,398,419,522,577,580,314,282,217,239,200,"No",123,118,124,119,130,117,143,133,154,88,"40MM Launcher, Baton/Impact Device, Beanbag Shotgun",2,1,1,2,2,1,1,1,3,2,111,98,85,55,32,20,20,15,19,8,NA,NA,NA,NA,69,81,61,59,52,62,1894,1935,1916,2004,2195,2187,2373,2250,2312,2283,634,636,732,753,813,533,507,425,467,360,"","Impact weapons = Baton + Beanbag shotgun + 40MM launcher","alliemonck; 2021 samswey","Good","@MaryHammond -  Did not see taser breakdown (column S). Changed total use of force incident numbers based on table on p. 331 of year-end report.","changed taser breakdown, added 2018 + 2019 taser #s, total incidents look good","@MaryHammond","","",NA,"maryhammond","Documented in arrest report","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",1847,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident","Incident"
"Los Angeles County Sheriff","CA","CA0190000","Yes",2791309,"https://file.lacounty.gov/SDSInter/bos/supdocs/147911.pdf ; report found underreporting to state RIPA program: https://assets-us-01.kc-usercontent.com/0234f496-d2b7-00b6-17a4-b43e949b70a2/ee467145-85c7-450c-a739-93e1f1d79f78/The%20Sheriff%E2%80%99s%20Department%E2%80%99s%20Underreporting%20of%20Civilian%20Stop%20Data%20to%20the%20California%20Attorney%20General.pdf ; https://www.muckrock.com/foi/los-angeles-county-358/la-sheriff-total-use-of-force-incidents-2020-2021-147962/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1396,1550,1644,1677,1510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","LAW ENFORCEMENT INCIDENTS ONLY.","","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Use of force form","Incident",""
"Chicago Police Department","IL","ILCPD0000","Yes",2693598,"https://home.chicagopolice.org/statistics-data/data-dashboards/use-of-force-dashboard/",NA,NA,97,75,62,77,61,82,61,48,NA,NA,449,484,391,218,224,161,115,97,"No",NA,NA,85,37,39,41,39,180,30,28,"Impact Weapon/Baton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,43,38,18,39,64,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3774,3202,3046,2680,2876,2332,1796,1925,NA,NA,641,564,468,277,302,405,160,151,"","","samswey","Good","@MaryHammond - unable to verify data, no link to chart on scorecard","data in nationwide scorecard doc","@MaryHammond","","",NA,"","Use of force form","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",4383,6956,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge","Use of force form","Incident","Incident, Subject and Officer-Based Counts provided"
"Houston Police Department","TX","TXHPD0000","Yes",2297580,"https://www.houstontx.gov/police/ois/ ; https://www.muckrock.com/foi/houston-113/houston-police-data-collection-request-117628/",37,34,32,26,15,18,21,21,58,48,NA,17,282,259,227,236,296,237,241,NA,"No",NA,2,31,21,12,18,22,48,75,NA,"Baton, Soft Impact Weapon Discharged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,5,3,7,10,5,NA,NA,4,95,93,90,72,114,125,115,NA,NA,NA,NA,NA,NA,NA,NA,10830,11054,5606,NA,24,414,377,334,329,439,420,436,NA,"Individualized data provided for 2021. 48 police shootings in 2022 cited in public records request, 29 on department website.","2018/2019 data INDIVIDUALIZED; only have officer-involved shooting data","alliemonck;samswey","Good","@MaryHammond","","","","",NA,"maryhammond","Documented in arrest report","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident",""
"Harris County Sheriff","TX","TX1010000","Yes",1965544,"https://harriscountyso.org/AboutUs/HCSOReports ; 2021: https://www.muckrock.com/foi/harris-county-393/police-data-collection-request-2021-132525/",NA,NA,15,11,14,13,17,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Impact weapon, object or instrument",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,971,931,1015,1093,1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,NA,"Individualized","only overall use of force, no breakdown by type of force prior to 2021. 2021 individualized data and annual report data differ slightly: 14 firearms discharge and 1486 total incidents vs 12 discharges and 1480 total in individualized data. Individualized data used for 2021.","alliemonck, samswey","Good","@MaryHammond","","","","",NA,"","Documented in arrest report","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",750,430,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident","Incident"
"Phoenix Police Department","AZ","AZ0072300","Yes",1708960,"https://opengov.civicdashboards.com/embed/0e2526; https://stories.opengov.com/phoenixaz/published/gjYOfizVO ; https://drive.google.com/drive/folders/1vUqQ_kWT7syjgILA55eI5eW_6pl4dOQZ?usp=sharing",NA,NA,NA,31,29,47,20,32,4,4,NA,NA,NA,174,161,114,121,127,124,104,"No",NA,NA,NA,21,22,35,61,67,106,112,"Impact Weapon, Propelled, Direct Impact Munitions",NA,NA,NA,7,7,10,22,7,0,0,NA,NA,NA,4,14,5,11,22,6,4,NA,NA,NA,NA,NA,58,22,24,25,23,NA,NA,NA,544,573,691,697,763,934,1141,NA,NA,NA,206,204,222,237,247,261,243,"","data dashboard use of force incident counts differ from individualized data provided earlier, potential underreporting to public dashboard of taser incidents, deadly force, impact weapons use","alliemonck;samswey","Good","@MaryHammond","","","","",NA,"","Use of force form","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Closed Hand/Leg Restraints",500,665,"Closed-Hand;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Closed-Hand;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge;K-9 Deployment","Use of force form","Other: Subject-Based Counts","Other: Subject-Based Counts"
"Las Vegas Metropolitan Police Department","NV","NV0020100","Yes",1693061,"https://www.muckrock.com/foi/las-vegas-317/police-data-collection-request-2022-145852/ ; https://www.lvmpd.com/en-us/InternalOversightConstitutionalPolicing/Documents/Statistical%20Data%20and%20Reports/2022/Use%20of%20Force%20and%20Vehicle%20Pursuit%20Statistical%20Report%202018-2022%20FINAL.pdf ; https://www.lvmpd.com/en-us/InternalOversightConstitutionalPolicing/Documents/UOF-and-Vehicle-Pursuit-Annual-5-Year-Statistical-Report-2014-2018.pdf https://www.muckrock.com/foi/las-vegas-317/police-data-collection-las-vegas-2019-2020-111645/ ; 2021: https://www.lvmpd.com/en-us/InternalOversightConstitutionalPolicing/Documents/Statistical%20Data%20and%20Reports/2021/Use%20of%20Force%20and%20Vehicle%20Pursuit%20Statistical%20Analysis%202017-2021%20FINAL.pdf",NA,16,16,10,22,22,16,19,10,14,NA,125,125,132,116,115,126,167,181,151,"No",NA,9,4,3,11,5,36,41,65,51,"40mm Specialty Impact Weapon, Impact Tool",NA,59,45,51,31,21,21,11,0,0,NA,NA,NA,NA,NA,NA,52,36,NA,NA,NA,43,39,36,27,27,35,32,35,25,NA,873,778,775,774,867,925,940,941,905,NA,236,213,222,185,168,270,287,281,227,"","used ""OC Spray/Devastator"" and ""Other*"" category for Chemical Spray #s, missing 2013 data. In October 2021, included the requirement of a Use of Force Report when a restraint chair is used.","samswey, alliemonck","Good - changed shooting #s","@MaryHammond","","","","",NA,"maryhammond","Use of force form","Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,843,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;K-9 Deployment","Use of force form","Incident","Incident: ""A Use of Force Report is required by each officer who uses reportable force in an incident. Reportable force is any use of
force which results in injury or complaint of injury, complaint of continuing pain or any use of force greater than low-level
force."""
"San Antonio Police Department","TX","TXSPD0000","Yes",1573157,"https://www.sa.gov/files/assets/main/sapd/sapd-ia-annual-report-2022.pdf ; https://www.muckrock.com/foi/san-antonio-324/use-of-forcecomplaints-data-san-antonio-police-department-58836/#file-209129 ; https://www.muckrock.com/foi/san-antonio-324/police-data-collection-request-2021-128590/ ; https://www.sanantonio.gov/Portals/0/Files/SAPD/OpenData/2018%20IA%20Annual%20Report%20Final.pdf?ver=2019-06-17-143505-473 https://www.muckrock.com/foi/san-antonio-324/use-of-forcecomplaints-data-san-antonio-police-department-58836/#file-209129 ; https://www.muckrock.com/foi/san-antonio-324/police-data-collection-request-2022-145854/",6,NA,NA,NA,NA,NA,NA,15,40,20,214,NA,NA,193,175,173,207,143,148,200,"Yes",48,NA,NA,NA,NA,NA,NA,NA,20,13,"ASP, Baton, Bean bag, Sage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,3,4,7,NA,NA,NA,NA,NA,NA,NA,0,1,760,1189,1157,963,586,511,531,423,361,405,287,NA,NA,193,175,173,207,143,171,218,"individualized UOF data, no officer names provided","2020 use of force total excludes pointing firearm, including this would increase total to 786.","samswey, alliemonck","Good","@MaryHammond","","","","",NA,"2013-17, 2020 firearm @MaryHammond","Use of force form","Incident/Officer","Display Firearm/Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",724,898,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Use of force form","Incident",""
"San Diego Police Department","CA","CA0371100","Yes",1437608,"https://www.muckrock.com/foi/san-diego-56/police-data-collection-request-2021-128591/ ; https://sandiego.nextrequest.com/requests/23-972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,151,171,156,112,68,"Yes",NA,NA,NA,NA,81,99,79,93,85,78,"40mm Foam Baton, Control Hold With Impact Weapons, Extended Range Impact Weapons, Hard Impact Weapons",NA,NA,NA,NA,88,83,71,23,0,0,NA,NA,NA,NA,228,254,183,208,209,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3020,3012,3042,2977,3040,3223,NA,NA,NA,NA,550,587,504,480,406,364,"Individualized, lists officer names UOF","Impact weapons = Extended range impact weapon + Extended range impact weapon 40mm + Hard Impact weapons + Control hold with impact weapon + 40mm Foam Baton; Chemical Spray = Chemical Agents (OC)+Chemical Agents (CS)+Pepper Ball. Displays removed from all UOF.","samswey, alliemonck","Good","@MaryHammond - I used the link on this chart which verified data, not scorecard","looks good","@MaryHammond","","",NA,"@MaryHammond - don't think they're splitting up taser categories anymore (column W)","Use of force form","Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Use of force form","Officer","Incident"
